,user_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,places_visited_count
0,Person A,5,5,5,3,1,-3,2,5,2,1,3,5,1,0,-4,-5,3,2,1,-1,-5,-5,4,3,1,1,-3,-3,3,-1,0,-3,2,0,-1,-5,1,-5,5,0,-2,1,1,-5,-3,1,0,3,1,-4,0,5
1,Person B,5,5,5,1,-1,1,2,5,1,2,5,5,1,-3,-2,-5,3,1,2,-1,-5,-5,3,1,-3,-4,-5,-5,3,-1,2,-3,1,-1,-3,-5,-1,-5,4,-1,-1,-2,-3,-3,-3,-1,0,2,1,-1,-2,5
2,Person D,2,2,2,0,2,-2,2,2,0,0,2,2,0,0,-2,-2,1,1,1,0,-2,-2,1,0,0,-1,-2,0,2,0,2,-2,0,1,-1,-2,-1,-2,1,0,0,2,1,-2,-2,0,-1,2,1,-2,2,2
3,Person F,5,5,5,1,3,-3,4,5,3,0,4,5,-3,-3,-5,-5,2,2,1,0,-5,-5,2,1,-3,-2,-5,-2,1,1,-1,-1,0,0,-1,-5,-1,-5,5,-2,-2,1,-2,-3,-3,-2,-3,2,2,-2,0,5
4,Person G,5,4,5,3,-1,-1,1,5,1,2,5,5,1,-3,-1,-5,3,0,2,1,-3,-5,1,1,-3,-2,-3,-3,5,-1,4,-5,2,-1,-4,-5,-3,-5,3,0,0,0,-1,-2,-2,1,1,4,3,2,0,5
5,Person I,5,5,1,5,-1,-3,-3,1,-1,0,1,1,5,1,-4,-5,1,0,4,3,-5,-5,-1,-3,-5,-3,-5,-5,5,0,2,-5,1,-1,-4,-4,-5,-5,1,0,0,-1,-2,1,0,2,0,4,4,-2,-1,5
6,Person J,5,5,5,-3,3,-3,2,5,3,2,4,5,1,-3,-4,-5,1,2,-1,1,-5,-5,2,-1,-3,-4,-5,-5,1,2,-3,3,3,0,-3,-5,0,-5,5,-2,-2,-1,-4,-5,-5,-4,-1,1,1,-4,-3,5
7,Person K,5,5,5,5,1,-3,3,5,3,1,3,5,2,1,-3,-5,2,3,2,0,-5,-5,1,3,-3,0,-2,-2,5,-1,-1,-5,1,0,1,-5,-3,-5,4,-1,-1,2,-1,-1,-3,1,0,4,4,-3,1,5
